IDS,Hier4Labels,SUS
pid047b8d0927c9ec39ca970e24ac275195,0,62.5
pid04b8f0e0b007f8bc4d3221f59f9dfc03,1,35
pid0e4ac74e25280d951deeca680c9f7aad,3,72.5
pid0e507a5dfb41d53c8f2bde6e9ea8dfa4,0,35
pid10c34727917bf7d77fb6bc024f26af75,2,67.5
pid233c4312e91b98087b31266418446557,0,75
pid263bbf86a69ace74ad6ccc51a93575d4,1,75
pid33c8a822bccabf26a97b70d1e7f751f1,2,62.5
pid37dc9562aada50534f1beac6b433df54,0,47.5
pid386947c9fd791fe84ed1144d90068c6d,0,85
pid3b309e3f9e849803eeeb221485884125,2,87.5
pid4dbcd018bdf695e0353db0e1df665433,2,42.5
pid5a6d95c58e39e1ac0b2e0f8e1fb26cc0,0,50
pid5c1546d2c6022b43038782c767bf20d8,3,65
pid5ee9b9a46529c1a8bb42a68ee7546005,0,30
pid5f3c79c122f774dcf9dfd76163ed441a,0,95
pid6195e7dd5816370a3d4eea9ff2cf28be,1,47.5
pid643388e8d217e4ebcd97e314e83bcd0c,2,12.5
pid77b9f38cd224359b2820b339c1e4979f,2,80
pid782237a8fa72c0f04d172b4a02c9902c,2,90
pid79189cb455f1d274c98223a3a777b0a8,1,42.5
pid80c2bc630d65e6a41a9549fb9ab04001,1,35
pid815866c502de35c92f9a3fd8633e1ec7,3,75
pid8610d0c6a488a6635e32ad192a22b60f,3,82.5
pid86a9440fa2d5a9c501c7c1dc249d5cf7,0,85
pid875e0f3b9dc56002dab47ab9039f1bdb,0,27.5
pid8c9b323a057698ac317263209abb277c,3,42.5
pid8cf394f7dc811c8327b3d226bb1bac90,2,40
pid97983750f7da560c04295ded7df7a1fa,3,22.5
pid989d05e3bdd091aa0757486defa4f19b,0,72.5
pidb3dfeca0dee852e21751c909aeddae09,2,25
pidc1448dc801ac469319b47e4a76ec0879,2,25
pidc26b859596e60c13de5c5ad5dde4c9d8,3,62.5
pidc824f2ff6a8472fff2d23572ddbe2b8a,0,80
pidca8348988a696b60fe09046a4bb569fd,0,60
pidcec888dd17fdff48f73f503aa632b863,2,95
pidd36c39ddfd8dddf35c6222f06586bc1b,1,57.5
pidd7078a729a295d9e8382da4f2e448366,1,37.5
pidda7d13d9d87b0ad6b0912862fe49a2a3,0,70
pidde2bf9ae9e166b14a1d1904999f748ad,2,50
piddf1c3fcc6b407a39802494fea15df4a5,0,55
piddf321364a0a8b16e2c9194fccd2f8483,1,52.5
pide3a3e46f17709e9d9f3f684551a1a59d,0,80
pide6314a1cb3ee5ab5fed9998e8c2250cf,3,47.5
pide6ee3ea7f10cf59f34060efe85a5aa7f,0,60
pide8a1cd9b052540942164787daeb69acc,1,67.5
pideba42d4aaad0fb68a77f56d8d4fb5849,1,30
pidec12afcede8f8020110e8692ef7c2742,2,17.5
pidf3038810fad9d0f35395e49b2bf457c6,0,95
pidfe7c21f90a3da58eb2fce3fdfe71c2a6,0,55